V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E2_SH_FLAT_FORW,E2_SH_FLAT_BACK,E2_TH_FLAT_FORW,E2_TH_FLAT_BACK,E2_SH_PUSH_FORW,E2_SH_PUSH_BACK,E2_TH_PUSH_FORW,E2_TWO_PUSH_BACK,VideoCompletion,VideoNTimes,VideoIssues,OpenEnded,GestureNotice,MathQuestion,TransitionPerson,Likeability,Approachability,Warm,Friendly,TransitionAQ,AQ1_face,AQ2_face,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,CONSENT   This study investigates language and perception. You will be asked to look at a picture...,"INSTRUCTIONS   On the next screen, you will see a video of a person. Please make sure that your a...",Response:,Response:,Response:,Response:,Response:,Response:,Response:,Response:,Were you able to view the video completely?,"If you were able to view the video, how many times did you view it?",Were there any video or audio issues that you were aware of?,"Any observations, thoughts, ideas you want to share with us about the person you just saw or the...",Did you notice the person's gestures?,What is 9 + 4?,The next four questions are about the person in the video:,The person in the video is likeable.  ,The person in the video is approachable.,The person in the video is warm.,The person in the video is friendly.,The next two questions are about yourself:,I find it easy to work out what someone is thinking or feeling just by looking at their face.,I find it difficult to work out people’s intentions.,What is your age?,What is your gender?,Are you left or right-handed?,What is your native language / your native languages?   Your native language(s) is what you spoke...,You completed our survey! Please follow the link below to retrieve the access code for this HIT:...,Display Order: Block Randomizer FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_9LbuH2D3mJ3LlJf,Default Response Set,Anonymous,,,213.205.198.8,0,2019-07-04 08:54:38,2019-07-04 08:56:05,1,1,1,,,,,Friday,,,,Yes,1,No,N/A,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,37,male,right-handed,English,1,E2_SH_PUSH_FORW,51.453506469727,-2.5917053222656,-1,
R_3HZbCsji4XdxgQE,Default Response Set,Anonymous,,,96.36.71.200,0,2019-07-04 08:55:06,2019-07-04 08:56:15,1,1,1,,,,,,,,monday,Yes,1,no,none,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,slightly agree,slightly disagree,32,female,right-handed,English,1,E2_TWO_PUSH_BACK,34.933395385742,-81.968902587891,-1,
R_PBNXKwQkEXNbwqZ,Default Response Set,Anonymous,,,67.247.209.64,0,2019-07-04 08:53:55,2019-07-04 08:56:27,1,1,1,,,,,,,,Monday,Yes,4,No,I had difficulty with the man's accent,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,strongly disagree,slightly disagree,33,male,right-handed,English,1,E2_TWO_PUSH_BACK,42.835403442383,-78.757301330566,-1,
R_Tos7seU356afUGJ,Default Response Set,Anonymous,,,69.176.23.15,0,2019-07-04 08:54:29,2019-07-04 08:56:30,1,1,1,,,,,Friday,,,,Yes,Twice because it loaded slowly.,Video loads slow. Everything works.,Not sure.,Probably yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,31,male,right-handed,English,1,E2_SH_PUSH_FORW,37.55549621582,-82.62670135498,-1,
R_12R7EcMOmGqsQjM,Default Response Set,Anonymous,,,128.90.86.191,0,2019-07-04 08:54:36,2019-07-04 08:56:53,1,1,1,,,,move forward,,,,,Yes,2,no,,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,strongly agree,slightly disagree,26,female,right-handed,english,1,E2_TH_FLAT_BACK,47.60920715332,-122.33140563965,-1,
R_2wpqqYIals4QGyZ,Default Response Set,Anonymous,,,173.31.29.206,0,2019-07-04 08:54:38,2019-07-04 08:57:01,1,1,1,,,,,,Monday,,,Yes,Once,No,No,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,36,female,right-handed,English,1,E2_SH_PUSH_BACK,41.612197875977,-93.529602050781,-1,
R_1Crtn0oRQ11tE6D,Default Response Set,Anonymous,,,174.72.236.106,0,2019-07-04 08:56:16,2019-07-04 08:58:11,1,1,1,,,,,,,Friday,,Yes,2,No,He was a bit hard to understand,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly agree,27,male,right-handed,English,1,E2_TH_PUSH_FORW,36.126007080078,-115.14540100098,-1,
R_1FCEzCtvPupu9T4,Default Response Set,Anonymous,,,208.93.129.19,0,2019-07-04 08:58:05,2019-07-04 08:59:25,1,1,1,Monday,,,,,,,,Yes,1,None,Their gestures and speech pattern were kind of odd,Definitely yes,13,1,slightly agree,slightly disagree,slightly agree,slightly agree,1,slightly agree,slightly disagree,23,male,right-handed,English,1,E2_SH_FLAT_FORW,33.466903686523,-111.91510009766,-1,
R_27eX3hUHWyQpbFT,Default Response Set,Anonymous,,,174.224.18.159,0,2019-07-04 08:56:21,2019-07-04 09:00:02,1,1,1,,Monday,,,,,,,Yes,once,no,Mumbler ,Definitely yes,13,1,slightly agree,slightly agree,strongly agree,slightly agree,1,slightly agree,strongly disagree,45,male,right-handed,English,1,E2_SH_FLAT_BACK,45.480392456055,-122.58909606934,-1,
R_2ONGeEM3NJ73Zk3,Default Response Set,Anonymous,,,70.95.40.142,0,2019-07-04 08:58:38,2019-07-04 09:00:27,1,1,1,,,,,,Sunday,,,Yes,2,None,he spoke kind of softly,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,32,female,right-handed,english,1,E2_SH_PUSH_BACK,32.799392700195,-117.16859436035,-1,
